   T                         Numerical Solution
   0.0000000000000000       -2.0000000000000000     
  0.15625000000000000       -2.0238322211630124     
  0.31250000000000000       -2.0677923728988725     
  0.46875000000000000       -2.1258717421989557     
  0.62500000000000000       -2.1919384928002734     
  0.78125000000000000       -2.2611042267222690     
  0.93750000000000000       -2.3300639651024797     
   1.0937500000000000       -2.3968538577532876     
   1.2500000000000000       -2.4604534902036090     
   1.4062500000000000       -2.5204381126127444     
   1.5625000000000000       -2.5767315886415529     
   1.7187500000000000       -2.6294479870005674     
   1.8750000000000000       -2.6787959056924842     
   2.0312500000000000       -2.7250230597678011     
   2.1875000000000000       -2.7683854095587339     
   2.3437500000000000       -2.8091307901480556     
   2.5000000000000000       -2.8474909195758404     
   2.6562500000000000       -2.8836781440398171     
   2.8125000000000000       -2.9178847863993220     
   2.9687500000000000       -2.9502838620134426     
   3.1250000000000000       -2.9810304544972350     
   3.2812500000000000       -3.0102633532117458     
   3.4375000000000000       -3.0381067343213011     
   3.5937500000000000       -3.0646717714059695     
   3.7500000000000000       -3.0900581212922500     
   3.9062500000000000       -3.1143552643919477     
   4.0625000000000000       -3.1376436972497732     
   4.2187500000000000       -3.1599959845699499     
   4.3750000000000000       -3.1814776824779769     
   4.5312500000000000       -3.2021481463891730     
   4.6875000000000000       -3.2220612369015695     
   4.8437500000000000       -3.2412659363668057     
   5.0000000000000000       -3.2598068876574353     
   5.1562500000000000       -3.2777248653902893     
   5.3125000000000000       -3.2950571886184559     
   5.4687500000000000       -3.3118380828380549     
   5.6250000000000000       -3.3280989981010745     
   5.7812500000000000       -3.3438688890912283     
   5.9375000000000000       -3.3591744622034665     
   6.0937500000000000       -3.3740403939609132     
   6.2500000000000000       -3.3884895244945197     
   6.4062500000000000       -3.4025430292889181     
   6.5625000000000000       -3.4162205719515017     
   6.7187500000000000       -3.4295404403802507     
   6.8750000000000000       -3.4425196683799282     
   7.0312500000000000       -3.4551741444978532     
   7.1875000000000000       -3.4675187096124529     
   7.3437500000000000       -3.4795672446041217     
   7.5000000000000000       -3.4913327492634458     
   7.6562500000000000       -3.5028274134421520     
   7.8125000000000000       -3.5140626813235198     
   7.9687500000000000       -3.5250493095782964     
   8.1250000000000000       -3.5357974200767153     
   8.2812500000000000       -3.5463165477447904     
   8.4375000000000000       -3.5566156840817325     
   8.5937500000000000       -3.5667033167935127     
   8.7500000000000000       -3.5765874659439145     
   8.9062500000000000       -3.5862757169776880     
   9.0625000000000000       -3.5957752509297198     
   9.2187500000000000       -3.6050928720985720     
   9.3750000000000000       -3.6142350334316373     
   9.5312500000000000       -3.6232078598419104     
   9.6875000000000000       -3.6320171696524368     
   9.8437500000000000       -3.6406684943434651     
   10.000000000000000       -3.6491670967587848     
